"datasetName","decimalLongitude","decimalLatitude","scientificName"
"obis",-83.06307,24.625,"Chaetodon striatus"
"obis",-81.706,24.48183,"Chaetodon striatus"
"obis",-81.7057833,24.4795,"Chaetodon striatus"
"obis",-29.32823,-20.52468,"Chaetodon striatus"
"obis",-83.070183,24.685833,"Chaetodon striatus"
"obis",-80.3635333,25.0214667,"Chaetodon striatus"
"obis",-74.1283611,11.3256111,"Chaetodon striatus"
"obis",-83.0240833,24.66075,"Chaetodon striatus"
"obis",-61.238286,13.006866,"Chaetodon striatus"
"obis",-29.347291,-20.506451,"Chaetodon striatus"
"obis",-80.17878,25.2644,"Chaetodon striatus"
"obis",-80.37212,25.01139,"Chaetodon striatus"
"obis",-80.1037,25.53832,"Chaetodon striatus"
"obis",-81.69612,24.48539,"Chaetodon striatus"
"obis",-80.3735332,25.0069167,"Chaetodon striatus"
"obis",-77.6462020874,24.2916698456,"Chaetodon striatus"
"obis",-80.5064333,24.9220667,"Chaetodon striatus"
"obis",-77.8609771729,24.8449306488,"Chaetodon striatus"
"obis",-77.3446666,8.639,"Chaetodon striatus"
"obis",-80.41229,24.99088,"Chaetodon striatus"
"obis",-80.5038666,24.9259501,"Chaetodon striatus"
"obis",-78.4653320312,20.5869674683,"Chaetodon striatus"
"obis",-83.0779,24.61877,"Chaetodon striatus"
"obis",-82.90111,24.62183,"Chaetodon striatus"
"obis",-81.3222999,24.56915,"Chaetodon striatus"
"obis",-81.8426,24.4603167,"Chaetodon striatus"
"obis",-80.6240999,24.8452167,"Chaetodon striatus"
"obis",-69.0307,18.3676,"Chaetodon striatus"
"obis",-29.30271,-20.514895,"Chaetodon striatus"
"obis",-80.3042667,25.1009333,"Chaetodon striatus"
"obis",-87.5264968872,17.2210006714,"Chaetodon striatus"
"obis",-83.02705,24.7058667,"Chaetodon striatus"
"obis",-80.09455,25.6508333,"Chaetodon striatus"
"obis",-81.7813666,24.4724833,"Chaetodon striatus"
"obis",-80.3240833,25.0752833,"Chaetodon striatus"
"obis",-82.9811833,24.7132333,"Chaetodon striatus"
"obis",-64.355992,18.718624,"Chaetodon striatus"
"obis",-78.6557159424,9.51865005493,"Chaetodon striatus"
"obis",-39.085,-16.886389,"Chaetodon striatus"
"obis",-80.0792,19.6848,"Chaetodon striatus"
"obis",-80.9659333,24.7007167,"Chaetodon striatus"
"obis",-83.0808,24.67475,"Chaetodon striatus"
"obis",-80.0570144653,19.7009506226,"Chaetodon striatus"
"obis",-81.40778,24.54563,"Chaetodon striatus"
"obis",-80.314567,25.073683,"Chaetodon striatus"
"obis",-82.948883,24.6525,"Chaetodon striatus"
"obis",-80.1282499,25.41015,"Chaetodon striatus"
"obis",-80.13648,25.37242,"Chaetodon striatus"
"obis",-80.1589333,25.3219667,"Chaetodon striatus"
"obis",-79.0300140381,20.8479995728,"Chaetodon striatus"
"obis",-80.7556666,24.76555,"Chaetodon striatus"
"obis",-81.7049833,24.4992167,"Chaetodon striatus"
"obis",-34.883333,-8.1,"Chaetodon striatus"
"obis",-64.5669174194,17.7811794281,"Chaetodon striatus"
"obis",-59.6425,13.1894444444,"Chaetodon striatus"
"obis",-80.5268499,24.9059167,"Chaetodon striatus"
"obis",-80.3746499,25.0090667,"Chaetodon striatus"
"obis",-80.1073166,25.5055333,"Chaetodon striatus"
"obis",-83.10296,24.64601,"Chaetodon striatus"
"obis",-80.0997077,25.5134861,"Chaetodon striatus"
"obis",-81.2241,24.5924167,"Chaetodon striatus"
"obis",-77.6666667,33.3333333,"Chaetodon striatus"
"obis",-81.6598833,24.49675,"Chaetodon striatus"
"obis",-81.6537167,24.4966,"Chaetodon striatus"
"obis",-81.28455,24.5774667,"Chaetodon striatus"
"obis",-81.8746666,24.45295,"Chaetodon striatus"
"obis",-80.3236167,25.0612667,"Chaetodon striatus"
"obis",-81.44145,24.5779167,"Chaetodon striatus"
"obis",-81.6750833,24.4885667,"Chaetodon striatus"
"obis",-59.6425,13.18944444,"Chaetodon striatus"
