scientificName,decimalLongitude,decimalLatitude
Chaetodon striatus,-77.8795166016,18.5240497589
Chaetodon striatus,-74.2397,11.20797
Chaetodon striatus,-40.407,-20.7
Chaetodon striatus,-82.2355567,24.9691633
Chaetodon striatus,-79.9943313599,21.7130661011
Chaetodon striatus,-82.6907272339,27.4702758789
Chaetodon striatus,-80.4415332,24.965
Chaetodon striatus,-38.1666679382,-12.75
Chaetodon striatus,-60.8444444444,11.1666666667
Chaetodon striatus,-38.548253,-12.959245
Chaetodon striatus,-79.3630523682,22.7202777863
Chaetodon striatus,-80.62116,24.84194
Chaetodon striatus,-77.6508331299,22.177778244
Chaetodon striatus,-35.7833,-9.6
Chaetodon striatus,-68.97967,12.218392
Chaetodon striatus,-97.0777359009,27.280796051
Chaetodon striatus,-66.062872,17.969617
Chaetodon striatus,-82.0800018311,16.1599998474
Chaetodon striatus,-61.665744,17.06998
Chaetodon striatus,-77.4142990112,18.4731006622
Chaetodon striatus,-97.7937316895,22.279958725
Chaetodon striatus,-76.842385,25.5162
Chaetodon striatus,-63.133333,18.216667
Chaetodon striatus,-38.873889,-17.350278
Chaetodon striatus,-87.6175003052,18.9133338928
Chaetodon striatus,-38.373845,-13.079663
Chaetodon striatus,-81.6347333,24.5330334
Chaetodon striatus,-80.45,30.4833333
Chaetodon striatus,-87.8837127686,21.5704536438
Chaetodon striatus,-42,-22
Chaetodon striatus,-69.542137146,19.3322200775
Chaetodon striatus,-87.4594421387,20.1058330536
Chaetodon striatus,-78.8551635742,20.7630004883
Chaetodon striatus,-64.6979904175,18.2798690796
Chaetodon striatus,-61.267111,13.260568
Chaetodon striatus,-74.390153,22.564841
Chaetodon striatus,-79.5850296021,21.2994327545
Chaetodon striatus,-76.6897964478,18.2696342468
Chaetodon striatus,-41.65,-2.8667
Chaetodon striatus,-80.0989833,25.5913
Chaetodon striatus,-97.3691329956,27.3733863831
Chaetodon striatus,-62.9776649475,17.4624996185
Chaetodon striatus,-82,12.5
Chaetodon striatus,-66.0823,18.46118
Chaetodon striatus,-64.5650863647,17.7594604492
Chaetodon striatus,-34.9333,-6.8167
Chaetodon striatus,-77.2699966431,33.5999984741
Chaetodon striatus,-87.5333328247,19.1541671753
Chaetodon striatus,-77.5083333,33.5333333
Chaetodon striatus,-82.887260437,23.0251464844
Chaetodon striatus,-83.0100021362,9.98999977112
Chaetodon striatus,-48,-27.5
Chaetodon striatus,-61.0603,14.580789
Chaetodon striatus,-80.442634,23.953101
Chaetodon striatus,-84.5137176514,21.8094329834
Chaetodon striatus,-63.2226676941,17.4629993439
Chaetodon striatus,-81.40185,24.54652
Chaetodon striatus,-38.8829994202,-18.2999992371
Chaetodon striatus,-38.786712,-13.133886
Chaetodon striatus,-71.2231369019,21.3033504486
Chaetodon striatus,-67.48715,18.39027
Chaetodon striatus,-69.6028,18.4424
Chaetodon striatus,-48,-27
Chaetodon striatus,-66.07686,10.54488
Chaetodon striatus,-82.435578,23.14473
Chaetodon striatus,-82.333333,9.416667
Chaetodon striatus,-78.9024963379,22.693611145
